dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01002202,5856,5636,6310,5852,3849,6457,1734,1537
Data Zone S01002203,5701,4988,5639,6417,3653,6397,445,5359
Data Zone S01002204,1075,1392,640,1689,890,4844,796,1389
Data Zone S01002205,5908,5371,5720,3931,6127,6331,1482,3971
Data Zone S01002206,3470,4010,3707,4113,1826,6136,387,849
Data Zone S01002207,5521,4898,5198,5397,5075,3861,3725,3389
Data Zone S01002208,6352,5559,6347,6443,5822,5470,1285,4418
Data Zone S01002209,3980,4001,4136,5792,2255,5289,147,1446
Data Zone S01002210,6339,5302,6264,6390,6340,5582,1762,3992
Data Zone S01002211,184,316,65,339,716,4383,984,275
Data Zone S01002212,1382,1333,1228,1634,1374,4304,1151,1633
Data Zone S01002213,3017,2934,3283,4036,3312,940,3116,2356
Data Zone S01002214,6226,5748,6176,6406,4352,5797,2340,3697
Data Zone S01002215,5814,5437,5658,4395,6176,5256,4523,1810
Data Zone S01002216,2596,3137,3390,3091,1138,4203,19,1430
Data Zone S01002217,3538,3576,4288,3726,2277,5987,94,1057
Data Zone S01002218,6173,5357,5860,6433,6222,6477,687,2790
Data Zone S01002219,6301,6268,5977,4747,6168,4407,5723,4127
Data Zone S01002220,5898,6235,5818,6152,6352,944,6214,6199
Data Zone S01002221,2734,2920,3003,2744,1864,4946,43,2478
Data Zone S01002222,6379,6376,6391,5815,6188,5533,6181,1331
Data Zone S01002223,6105,5775,6080,5994,6309,2684,5998,2926
Data Zone S01002224,6021,5852,5666,5949,6406,2127,6114,4295
Data Zone S01002225,5499,4983,5243,5744,5587,6280,740,1325
Data Zone S01002226,6041,5964,5972,4221,5590,5534,1396,3862
Data Zone S01002227,709,1001,486,991,538,4706,1598,878
Data Zone S01002228,4710,4921,4483,3611,3712,2673,4667,4575
Data Zone S01002229,5766,5135,6068,5706,6130,1694,6337,4682
Data Zone S01002230,5057,5023,4579,5898,3497,5833,391,2763
Data Zone S01002231,6426,6011,6434,6201,5835,4560,3438,4294
Data Zone S01002232,1829,2068,2392,1872,1103,4786,904,405
Data Zone S01002233,2245,2316,2760,1714,2040,5861,123,988
Data Zone S01002234,3023,3122,3116,3544,1564,5551,215,2981
Data Zone S01002235,4863,4801,4594,5127,3009,6064,633,2760
Data Zone S01002236,1810,2016,2240,1527,1186,4833,1319,781
Data Zone S01002237,4635,4534,4157,4431,3597,5701,1915,1879
Data Zone S01002238,670,1097,376,418,922,4720,2248,1424
Data Zone S01002239,270,354,205,233,605,6332,1187,515
Data Zone S01002240,1734,1817,1320,1900,2065,5210,292,2428
Data Zone S01002241,1211,1218,1359,1412,847,4121,576,1198
Data Zone S01002242,6164,5557,5828,5148,5765,5883,4113,3121
Data Zone S01002243,3949,3466,3831,4339,3866,5711,495,1297
Data Zone S01002244,4295,4111,4008,5136,2469,5739,297,4235
Data Zone S01002245,5606,5121,5951,5808,3541,5037,2042,2903
Data Zone S01002246,2968,2995,2971,3042,2576,6169,128,1332
Data Zone S01002247,879,811,1194,1231,340,4487,833,1438
Data Zone S01002248,6367,5832,5984,5329,5903,5831,4247,4576
Data Zone S01002249,1881,2023,2529,1933,609,6199,251,2473
Data Zone S01002250,5551,4460,5250,6192,4340,5570,1880,4326
Data Zone S01002251,6231,6061,6228,6164,6134,1782,6157,6294
Data Zone S01002252,4459,4216,3105,5617,5494,3014,6196,2348
Data Zone S01002253,2173,2086,2190,1799,2079,5525,1400,1554
Data Zone S01002254,3261,3451,2994,3205,2397,6005,293,2675
Data Zone S01002255,3294,3458,3364,2967,2936,4322,160,2465
Data Zone S01002256,6254,5917,6307,6215,5632,2900,4127,4654
Data Zone S01002257,4061,3860,3540,3620,3532,5537,2760,2180
Data Zone S01002258,2529,2365,3807,2274,1148,6456,67,2173
Data Zone S01002259,3575,3119,3102,4576,3262,3137,1489,4484
Data Zone S01002260,6055,5890,6372,5880,6405,1383,6096,5396
Data Zone S01002261,5105,4792,4620,3489,4940,5285,3029,3701
Data Zone S01002262,5330,5164,4771,5234,5096,3786,5209,2043
Data Zone S01002263,6253,6258,6344,6115,6329,2064,6328,3755
Data Zone S01002264,4123,4106,3560,2660,4672,6059,1146,2499
Data Zone S01002265,1195,1085,1858,1492,467,5565,749,679
Data Zone S01002266,1791,2033,1587,2065,1724,6401,462,554
Data Zone S01002267,1610,1664,2331,1859,571,6095,1668,510
Data Zone S01002268,5924,5699,5119,5738,5729,3567,5810,3781
Data Zone S01002269,5738,4360,5935,3835,6273,6118,2362,5087
Data Zone S01002270,2723,3041,3478,2865,1592,6452,377,351
Data Zone S01002271,5149,4325,4086,4968,5035,5552,3351,4955
Data Zone S01002272,5488,5146,5141,5223,4286,4408,4301,3276
Data Zone S01002273,2677,2876,2953,1928,2023,6195,419,1630
Data Zone S01002274,2404,2509,2258,2037,2257,5832,389,2296
Data Zone S01002275,1204,1020,1593,1295,808,5317,1093,831
Data Zone S01002276,6305,6222,6360,6451,6503,1825,6472,5081
Data Zone S01002277,627,362,957,454,1161,5541,1277,378
Data Zone S01002278,467,407,696,495,448,6391,808,200
Data Zone S01002279,313,278,507,297,369,5447,1034,299
Data Zone S01002280,5880,5381,5080,5806,5125,3877,5286,5468
Data Zone S01002281,261,170,389,729,186,5815,705,711
Data Zone S01002282,545,1229,729,686,75,6290,421,21
Data Zone S01002283,5561,4141,4909,5653,5788,4999,4575,4938
Data Zone S01002284,3340,3058,4626,2275,2600,3529,1621,1975
Data Zone S01002285,786,680,1171,504,802,6244,459,579
Data Zone S01002286,5148,4516,5255,3231,5917,6069,1328,2435
Data Zone S01002287,6140,5571,5270,6014,5395,5652,3967,4273
Data Zone S01002288,2768,2442,3104,2525,1989,6039,700,2382
Data Zone S01002289,1449,1591,1841,661,1515,6412,478,786
Data Zone S01002290,837,1082,1254,888,269,6425,329,364
Data Zone S01002291,46,80,39,314,31,5769,719,151
Data Zone S01002292,1638,1306,1574,1108,2664,6436,320,2457
Data Zone S01002293,2920,2704,3367,3191,2212,4827,907,995
Data Zone S01002294,6030,5190,5853,4735,5686,5893,5786,3173
Data Zone S01002295,6085,5898,5704,6181,6156,2275,4007,5347
Data Zone S01002296,2305,5152,3654,3064,5,6055,444,4864
Data Zone S01002297,3400,3664,2912,2485,3135,4497,3758,2746
Data Zone S01002298,5813,4595,5897,5585,5357,5579,4198,2606
Data Zone S01002299,5515,5211,5536,5440,5639,2838,5565,1730
Data Zone S01002300,6492,6101,6311,6213,6359,5221,5583,6076
Data Zone S01002301,2639,2197,3451,3751,1075,5442,1912,1442
Data Zone S01002302,575,588,679,575,439,5667,1405,559
Data Zone S01002303,1575,1471,1948,1072,1443,4801,977,1481
Data Zone S01002304,3401,3389,4013,3118,2165,5453,1040,1208
Data Zone S01002305,568,685,527,571,539,6264,96,919
Data Zone S01002306,2623,2669,3445,2073,1647,6207,627,864
Data Zone S01002307,4086,3479,4027,4570,3307,5665,825,2013
Data Zone S01002308,6125,5278,5520,5781,6011,5870,2925,3660
Data Zone S01002309,1161,1172,1141,934,851,6325,823,2175
Data Zone S01002310,241,377,117,224,641,6359,714,852
Data Zone S01002311,6277,6075,6205,6253,6035,2591,6203,4139
Data Zone S01002312,414,350,425,596,614,5048,1287,321
Data Zone S01002313,6094,5723,4823,6151,6124,6068,4705,2797
Data Zone S01002314,5381,4570,5138,5041,6169,4164,1357,2963
Data Zone S01002315,5901,5541,5537,5249,4472,5043,4777,3956
Data Zone S01002316,6433,6270,6098,6379,6484,3285,6055,4824
Data Zone S01002317,2772,3272,3164,2085,2694,3580,317,1026
Data Zone S01002318,1425,1618,1600,1410,902,6146,472,686
Data Zone S01002319,804,913,737,933,645,3593,1071,1905
Data Zone S01002320,6078,5382,5944,4821,5877,5273,3546,3740
Data Zone S01002321,102,134,204,91,80,3833,1238,595
Data Zone S01002322,3745,3875,2846,3146,4939,4059,430,3760
Data Zone S01002323,4119,3802,3739,3501,3878,5808,1402,2277
Data Zone S01002324,180,152,290,369,220,4602,1220,273
Data Zone S01002325,2366,2252,2805,1778,2481,5029,1157,949
Data Zone S01002326,2218,2273,2341,1807,2063,5983,255,1542
Data Zone S01002327,4297,4024,5072,4674,5054,684,4427,3420
Data Zone S01002328,5377,5011,5130,4511,4514,3454,3194,5795
Data Zone S01002329,5247,4846,5601,4668,3809,2573,4544,5993
Data Zone S01002330,3820,3093,3234,3890,3370,5063,3204,4360
Data Zone S01002331,3516,2982,3304,3449,2982,4805,1345,4517
Data Zone S01002332,6200,6153,5963,5957,5381,2753,5506,5069
Data Zone S01002333,6212,5755,5991,6297,5588,2833,5666,5516
Data Zone S01002334,6346,5634,6254,6086,6160,4337,5055,3785
Data Zone S01002335,4992,5069,4682,3902,5331,6151,4943,564
Data Zone S01002336,6183,5315,6012,5604,5797,4083,5393,5013
Data Zone S01002337,5664,5243,5405,6027,5111,2119,5034,6006
Data Zone S01002338,2021,1683,1924,1757,3098,4478,1224,1708
